PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,32.5959728,129.3000131,0,-8.394,3.401,1,4929,34,90
2,32.5959824,129.3001528,0,-5.428,39.65,1,4929,34,90
3,32.595984,129.3002016,0,-4.94,52.334,1,4929,34,90
4,32.5958973,129.3001754,0,-31.642,45.517,1,4929,34,90
5,32.5959595,129.3000136,0,-12.48,3.527,1,4929,34,90
6,32.5959731,129.3001923,0,-8.281,49.918,1,4929,34,90
7,32.595898,129.3001682,0,-31.425,43.67,1,4929,34,90
8,32.5959652,129.3000133,0,-10.705,3.446,1,4929,34,90
9,32.5959656,129.3000191,0,-10.584,4.963,1,4929,34,90
10,32.5959658,129.3000237,0,-10.525,6.152,1,4929,34,90
12,32.5959661,129.3000275,0,-10.444,7.149,1,4929,34,90
13,32.5959744,129.3001941,0,-7.885,50.372,1,4929,34,90
14,32.5959664,129.3000314,0,-10.363,8.146,1,4929,34,90
15,32.5959666,129.3000352,0,-10.282,9.143,1,4929,34,90
16,32.5959669,129.3000391,0,-10.201,10.14,1,4929,34,90
17,32.5959671,129.3000429,0,-10.12,11.137,1,4929,34,90
18,32.5959674,129.3000467,0,-10.039,12.134,1,4929,34,90
19,32.5959677,129.3000506,0,-9.958,13.131,1,4929,34,90
20,32.5959679,129.3000544,0,-9.877,14.128,1,4929,34,90
21,32.5959682,129.3000583,0,-9.796,15.125,1,4929,34,90
22,32.5959685,129.3000621,0,-9.715,16.122,1,4929,34,90
23,32.5959687,129.300066,0,-9.634,17.119,1,4929,34,90
24,32.595969,129.3000698,0,-9.553,18.116,1,4929,34,90
25,32.5959693,129.3000736,0,-9.472,19.113,1,4929,34,90
26,32.5959695,129.3000775,0,-9.391,20.11,1,4929,34,90
27,32.5959698,129.3000813,0,-9.31,21.107,1,4929,34,90
28,32.59597,129.3000852,0,-9.229,22.104,1,4929,34,90
29,32.5959703,129.300089,0,-9.148,23.101,1,4929,34,90
30,32.5959706,129.3000928,0,-9.067,24.098,1,4929,34,90
31,32.5959708,129.3000967,0,-8.986,25.095,1,4929,34,90
32,32.5959711,129.3001005,0,-8.905,26.092,1,4929,34,90
33,32.5959714,129.3001044,0,-8.824,27.089,1,4929,34,90
34,32.5959716,129.3001082,0,-8.743,28.086,1,4929,34,90
35,32.5959719,129.300112,0,-8.662,29.083,1,4929,34,90
36,32.5959721,129.3001159,0,-8.581,30.08,1,4929,34,90
37,32.5959724,129.3001197,0,-8.5,31.077,1,4929,34,90
38,32.5959727,129.3001236,0,-8.419,32.074,1,4929,34,90
39,32.5959729,129.3001274,0,-8.338,33.071,1,4929,34,90
40,32.5959732,129.3001312,0,-8.257,34.068,1,4929,34,90
41,32.5959735,129.3001351,0,-8.176,35.065,1,4929,34,90
42,32.5959737,129.3001389,0,-8.095,36.062,1,4929,34,90
43,32.595974,129.3001428,0,-8.014,37.059,1,4929,34,90
44,32.5959742,129.3001466,0,-7.933,38.056,1,4929,34,90
45,32.5959745,129.3001505,0,-7.852,39.053,1,4929,34,90
46,32.5959748,129.3001543,0,-7.771,40.05,1,4929,34,90
47,32.595975,129.3001581,0,-7.69,41.047,1,4929,34,90
48,32.5959753,129.300162,0,-7.609,42.044,1,4929,34,90
49,32.5959756,129.3001658,0,-7.528,43.041,1,4929,34,90
50,32.5959758,129.3001697,0,-7.447,44.038,1,4929,34,90
51,32.5959761,129.3001735,0,-7.366,45.035,1,4929,34,90
52,32.5959763,129.3001773,0,-7.285,46.032,1,4929,34,90
53,32.5959766,129.3001812,0,-7.204,47.029,1,4929,34,90
54,32.5959769,129.300185,0,-7.123,48.026,1,4929,34,90
55,32.5959771,129.3001889,0,-7.042,49.023,1,4929,34,90
56,32.5959774,129.3001927,0,-6.961,50.02,1,4929,34,90
57,32.5959776,129.300195,0,-6.913,50.608,1,4929,34,90
58,32.5959712,129.3001932,0,-8.857,50.136,1,4929,34,90
59,32.5959681,129.3001922,0,-9.829,49.9,1,4929,34,90
60,32.5959649,129.3001913,0,-10.801,49.664,1,4929,34,90
61,32.5959618,129.3001904,0,-11.773,49.428,1,4929,34,90
62,32.5959586,129.3001895,0,-12.745,49.192,1,4929,34,90
63,32.5959555,129.3001886,0,-13.717,48.956,1,4929,34,90
64,32.5959523,129.3001877,0,-14.689,48.72,1,4929,34,90
65,32.5959492,129.3001868,0,-15.661,48.484,1,4929,34,90
66,32.595946,129.3001859,0,-16.633,48.248,1,4929,34,90
67,32.5959428,129.300185,0,-17.605,48.012,1,4929,34,90
68,32.5959397,129.3001841,0,-18.577,47.776,1,4929,34,90
69,32.5959365,129.3001832,0,-19.549,47.54,1,4929,34,90
70,32.5959334,129.3001822,0,-20.521,47.304,1,4929,34,90
71,32.5959302,129.3001813,0,-21.493,47.068,1,4929,34,90
72,32.5959271,129.3001804,0,-22.465,46.832,1,4929,34,90
73,32.5959239,129.3001795,0,-23.437,46.596,1,4929,34,90
74,32.5959208,129.3001786,0,-24.409,46.36,1,4929,34,90
75,32.5959176,129.3001777,0,-25.381,46.124,1,4929,34,90
76,32.5959144,129.3001768,0,-26.353,45.888,1,4929,34,90
77,32.5959113,129.3001759,0,-27.325,45.652,1,4929,34,90
78,32.5959081,129.300175,0,-28.297,45.416,1,4929,34,90
79,32.595905,129.3001741,0,-29.269,45.18,1,4929,34,90
80,32.5959018,129.3001731,0,-30.241,44.944,1,4929,34,90
81,32.5958987,129.3001722,0,-31.213,44.708,1,4929,34,90
82,32.5958969,129.3001717,0,-31.767,44.574,1,4929,34,90
161,32.5959727,129.300013,0,-8.402,3.381,1,4929,34,90
161,32.5959727,129.300013,0,-8.402,3.381,1,4929,34,90
162,32.5959823,129.3001533,0,-5.441,39.798,1,4929,34,90
163,32.595984,129.3002016,0,-4.935,52.325,1,4929,34,90
164,32.5958973,129.3001754,0,-31.642,45.522,1,4929,34,90
165,32.595898,129.3001682,0,-31.426,43.663,1,4929,34,90
166,32.5959731,129.3001922,0,-8.286,49.889,1,4929,34,90
167,32.5959594,129.3000135,0,-12.496,3.509,1,4929,34,90
168,32.5958976,129.3001716,0,-31.535,44.539,1,4929,34,90
169,32.5959008,129.3001725,0,-30.563,44.774,1,4929,34,90
170,32.5959769,129.3001906,0,-7.121,49.474,1,4929,34,90
171,32.5959766,129.3001868,0,-7.202,48.477,1,4929,34,90
172,32.5959764,129.3001829,0,-7.283,47.48,1,4929,34,90
173,32.5959761,129.3001791,0,-7.364,46.483,1,4929,34,90
174,32.5959758,129.3001752,0,-7.445,45.486,1,4929,34,90
175,32.5959756,129.3001714,0,-7.526,44.489,1,4929,34,90
176,32.5959753,129.3001676,0,-7.607,43.492,1,4929,34,90
177,32.595975,129.3001637,0,-7.688,42.495,1,4929,34,90
178,32.5959748,129.3001599,0,-7.769,41.498,1,4929,34,90
179,32.5959745,129.300156,0,-7.85,40.501,1,4929,34,90
180,32.5959743,129.3001522,0,-7.931,39.504,1,4929,34,90
181,32.595974,129.3001484,0,-8.012,38.507,1,4929,34,90
182,32.5959737,129.3001445,0,-8.093,37.51,1,4929,34,90
183,32.5959735,129.3001407,0,-8.174,36.513,1,4929,34,90
184,32.5959732,129.3001368,0,-8.255,35.516,1,4929,34,90
185,32.5959729,129.300133,0,-8.336,34.519,1,4929,34,90
186,32.5959727,129.3001291,0,-8.417,33.522,1,4929,34,90
187,32.5959724,129.3001253,0,-8.498,32.525,1,4929,34,90
188,32.5959721,129.3001215,0,-8.579,31.528,1,4929,34,90
189,32.5959719,129.3001176,0,-8.66,30.531,1,4929,34,90
190,32.5959716,129.3001138,0,-8.741,29.534,1,4929,34,90
191,32.5959714,129.3001099,0,-8.822,28.537,1,4929,34,90
192,32.5959711,129.3001061,0,-8.903,27.54,1,4929,34,90
193,32.5959708,129.3001023,0,-8.984,26.543,1,4929,34,90
194,32.5959706,129.3000984,0,-9.065,25.546,1,4929,34,90
195,32.5959703,129.3000946,0,-9.146,24.549,1,4929,34,90
196,32.59597,129.3000907,0,-9.227,23.552,1,4929,34,90
197,32.5959698,129.3000869,0,-9.308,22.555,1,4929,34,90
198,32.5959695,129.3000831,0,-9.389,21.558,1,4929,34,90
199,32.5959693,129.3000792,0,-9.47,20.561,1,4929,34,90
200,32.595969,129.3000754,0,-9.551,19.564,1,4929,34,90
201,32.5959687,129.3000715,0,-9.632,18.567,1,4929,34,90
202,32.5959685,129.3000677,0,-9.713,17.57,1,4929,34,90
203,32.5959682,129.3000638,0,-9.794,16.573,1,4929,34,90
204,32.5959679,129.30006,0,-9.875,15.576,1,4929,34,90
205,32.5959677,129.3000562,0,-9.956,14.579,1,4929,34,90
206,32.5959674,129.3000523,0,-10.037,13.582,1,4929,34,90
207,32.5959672,129.3000485,0,-10.118,12.585,1,4929,34,90
208,32.5959669,129.3000446,0,-10.199,11.588,1,4929,34,90
209,32.5959666,129.3000408,0,-10.28,10.591,1,4929,34,90
210,32.5959664,129.300037,0,-10.361,9.594,1,4929,34,90
211,32.5959661,129.3000331,0,-10.442,8.597,1,4929,34,90
212,32.5959658,129.3000293,0,-10.523,7.6,1,4929,34,90
213,32.5959656,129.3000254,0,-10.604,6.603,1,4929,34,90
214,32.5959653,129.3000216,0,-10.685,5.606,1,4929,34,90
215,32.595965,129.3000178,0,-10.766,4.609,1,4929,34,90
216,32.5959648,129.3000139,0,-10.847,3.612,1,4929,34,90
217,32.5959648,129.3000135,0,-10.856,3.5,1,4929,34,90
218,32.5959039,129.3001734,0,-29.591,45.009,1,4929,34,90
219,32.5959071,129.3001743,0,-28.619,45.244,1,4929,34,90
220,32.5959102,129.3001752,0,-27.647,45.479,1,4929,34,90
221,32.5959134,129.3001761,0,-26.675,45.714,1,4929,34,90
222,32.5959166,129.300177,0,-25.703,45.949,1,4929,34,90
223,32.5959197,129.3001779,0,-24.731,46.184,1,4929,34,90
224,32.5959229,129.3001788,0,-23.759,46.419,1,4929,34,90
225,32.595926,129.3001797,0,-22.787,46.654,1,4929,34,90
226,32.5959292,129.3001806,0,-21.815,46.889,1,4929,34,90
227,32.5959323,129.3001815,0,-20.843,47.124,1,4929,34,90
228,32.5959355,129.3001825,0,-19.871,47.359,1,4929,34,90
229,32.5959386,129.3001834,0,-18.899,47.594,1,4929,34,90
230,32.5959418,129.3001843,0,-17.927,47.829,1,4929,34,90
231,32.595945,129.3001852,0,-16.955,48.064,1,4929,34,90
232,32.5959481,129.3001861,0,-15.983,48.299,1,4929,34,90
233,32.5959513,129.300187,0,-15.011,48.534,1,4929,34,90
234,32.5959544,129.3001879,0,-14.039,48.769,1,4929,34,90
235,32.5959576,129.3001888,0,-13.067,49.004,1,4929,34,90
236,32.5959607,129.3001897,0,-12.095,49.239,1,4929,34,90
237,32.5959639,129.3001906,0,-11.123,49.474,1,4929,34,90
238,32.595967,129.3001915,0,-10.151,49.709,1,4929,34,90
239,32.5959702,129.3001924,0,-9.179,49.944,1,4929,34,90
240,32.5959734,129.3001933,0,-8.207,50.179,1,4929,34,90
241,32.5959765,129.3001942,0,-7.235,50.414,1,4929,34,90
242,32.5959772,129.3001944,0,-7.038,50.462,1,4929,34,90
